Ano,Mes,Dia,Hora,U,V,UI
2010,5,19,6,-8.0875,-5.5469,916.37
2010,5,19,12,-1.4559,-7.6209,996.04
2010,5,19,18,-6.5814,-8.5851,1564.4
2010,5,20,0,-7.3132,-4.2556,606.56
2010,5,20,6,-3.9691,-5.3388,598.29
2010,5,20,12,0.82335,-4.8894,408.38
2010,5,20,18,6.6696,-1.3262,151.92
2010,5,21,0,2.3029,1.7858,-87.666
2010,5,21,6,-1.0245,-1.2256,32.978
2010,5,21,12,-2.379,-4.1741,337.83
2010,5,21,18,-2.2235,-2.4406,135.74
2010,5,22,0,-0.2058,-2.1497,78.201
2010,5,22,6,0.40442,-2.037,71.264
2010,5,22,12,-2.149,-0.21367,7.7734
2010,5,22,18,-2.419,-0.4376,18.121
2010,5,23,0,-0.64546,0.23877,-2.768
2010,5,23,6,3.6102,-0.9299,58.399
2010,5,23,12,0.36298,0.12706,-0.82313
2010,5,23,18,1.6079,0.7567,-22.652
2010,5,24,0,0.93353,2.2213,-90.157
2010,5,24,6,2.7966,3.3667,-248.22
2010,5,24,12,0.91445,-0.58132,10.611
2010,5,24,18,-4.9275,2.9873,-289.97
2010,5,25,0,-4.8387,7.1182,-1032.1
2010,5,25,6,5.9945,11.098,-2358.2
2010,5,25,12,13.048,7.8469,-2012.6
2010,5,25,18,10.245,4.5003,-848.3
2010,5,26,0,6.2817,5.0012,-676.46
2010,5,26,6,4.0434,2.3723,-187.35
2010,5,26,12,1.7429,-0.28841,8.5826
2010,5,26,18,0.78331,-1.4839,41.946
2010,5,27,0,-0.88098,1.566,-47.398
2010,5,27,6,0.91289,0.84194,-17.613
2010,5,27,12,0.7651,-1.0337,22.394
2010,5,27,18,0.45673,-1.2174,26.665
2010,5,28,0,0.22248,-2.3323,92.048
2010,5,28,6,-0.43756,-1.5199,40.493
2010,5,28,12,2.2067,-2.2596,120.22
2010,5,28,18,3.0154,1.3982,-78.286
2010,5,29,0,3.8351,4.0428,-379.49
2010,5,29,6,3.3506,2.5897,-184.74
2010,5,29,12,2.8696,0.61989,-30.656
2010,5,29,18,2.4501,1.2111,-55.758
2010,5,30,0,3.5922,1.749,-117.72
2010,5,30,6,1.2876,2.0042,-80.426
2010,5,30,12,0.12893,-1.4419,35.164
2010,5,30,18,-2.4367,-3.3111,229.3
2010,5,31,0,-2.0455,-5.4174,528.45
2010,5,31,6,-5.7557,-7.223,1123.8
2010,5,31,12,-2.9804,-9.856,1709.6
2010,5,31,18,-4.0028,-11.155,2227.1
2010,6,1,0,-6.0133,-7.6267,1247.8
2010,6,1,6,-7.9564,-9.1586,1871.7
2010,6,1,12,-2.1575,-10.982,2070.4
2010,6,1,18,-9.2111,-8.938,1932.5
2010,6,2,0,-10.196,-7.1028,1486.8
2010,6,2,6,-7.9514,-8.8829,1783.9
2010,6,2,12,-1.9926,-9.7552,1636.2
2010,6,2,18,0.6565,-9.1228,1405.6
2010,6,3,0,-1.8197,-6.8554,819.09
2010,6,3,6,2.4205,-1.2173,55.556
2010,6,3,12,1.9775,-2.1604,106.59
2010,6,3,18,1.8265,-0.38392,12.07
2010,6,4,0,0.083215,-1.5656,41.349
